Estimators:,F-Stat,Info Gain,Info Gain(no_early_abandon),Kolmogorov,Kruskal Wallis,Moods Median,Wasserstein
ACSF1,3.5,3.5,3.5,3.5,7.0,1.0,6.0
Adiac,7.0,3.5,3.5,2.0,1.0,5.0,6.0
ArrowHead,1.0,2.5,2.5,4.0,6.0,5.0,7.0
BME,5.0,3.0,3.0,3.0,7.0,6.0,1.0
Beef,4.5,1.5,1.5,6.0,3.0,4.5,7.0
BeetleFly,7.0,5.0,5.0,2.0,2.0,5.0,2.0
BirdChicken,4.0,4.0,4.0,4.0,4.0,1.0,7.0
CBF,5.0,2.5,2.5,1.0,4.0,6.0,7.0
Car,6.0,3.5,3.5,1.0,5.0,2.0,7.0
ChlorineConcentration,6.0,1.5,1.5,5.0,7.0,4.0,3.0
CinCECGTorso,2.0,3.5,3.5,1.0,6.0,5.0,7.0
Coffee,5.0,2.5,2.5,5.0,1.0,5.0,7.0
Computers,7.0,2.0,2.0,4.0,2.0,6.0,5.0
CricketX,3.0,4.5,4.5,2.0,1.0,6.0,7.0
CricketY,5.0,3.5,3.5,6.0,2.0,1.0,7.0
CricketZ,5.0,1.5,1.5,3.0,6.0,7.0,4.0
Crop,1.0,5.5,5.5,4.0,3.0,2.0,7.0
DistalPhalanxOutlineAgeGroup,7.0,4.5,4.5,3.0,6.0,2.0,1.0
DistalPhalanxOutlineCorrect,7.0,5.5,5.5,1.0,4.0,2.0,3.0
DistalPhalanxTW,4.0,5.0,7.0,3.0,2.0,1.0,6.0
ECG200,7.0,4.0,4.0,4.0,6.0,1.0,2.0
ECG5000,5.0,1.5,1.5,4.0,6.0,3.0,7.0
ECGFiveDays,2.0,3.5,3.5,6.0,1.0,5.0,7.0
EOGHorizontalSignal,6.0,4.5,4.5,1.0,3.0,2.0,7.0
EOGVerticalSignal,3.0,1.5,1.5,5.0,4.0,6.0,7.0
EthanolLevel,6.0,4.5,4.5,3.0,2.0,1.0,7.0
FaceAll,2.0,5.5,5.5,1.0,4.0,3.0,7.0
FacesUCR,4.0,1.5,1.5,3.0,7.0,6.0,5.0
Fish,2.0,5.5,5.5,3.0,4.0,1.0,7.0
FordA,3.0,4.5,4.5,1.0,6.0,2.0,7.0
FordB,4.0,7.0,3.0,2.0,1.0,5.0,6.0
FreezerRegularTrain,6.0,2.5,2.5,2.5,5.0,2.5,7.0
FreezerSmallTrain,6.0,3.5,3.5,1.5,1.5,5.0,7.0
GunPoint,3.5,3.5,3.5,3.5,3.5,3.5,7.0
