CBF,rstc,TEST,4,MILLISECONDS,Generated by run_classification_experiment on 08/10/2024, 03:09:17. Encoder dictionary: {'1': 0, '2': 1, '3': 2}
{'batch_size': 100, 'contract_max_n_shapelet_samples': inf, 'estimator': None, 'max_shapelet_length': None, 'max_shapelets': None, 'n_jobs': 1, 'n_shapelet_samples': 10000, 'random_state': 4, 'shapelet_quality': 'Kruskal_Wallis', 'time_limit_in_minutes': 0, 'transform_limit_in_minutes': 0}
0.9888888888888889,13648,2521,-1,19619840,3,N/A,-1,-1
0,0,,0.985,0.0,0.015
0,0,,0.815,0.13,0.055
0,0,,0.635,0.03,0.335
0,0,,0.895,0.0,0.105
0,0,,0.96,0.02,0.02
0,0,,0.9,0.015,0.085
0,0,,0.975,0.005,0.02
0,0,,0.945,0.035,0.02
0,0,,0.88,0.015,0.105
0,0,,0.875,0.055,0.07
0,0,,0.68,0.11,0.21
0,0,,0.91,0.0,0.09
0,2,,0.405,0.1,0.495
0,0,,0.925,0.015,0.06
0,0,,0.91,0.075,0.015
0,0,,0.98,0.01,0.01
0,0,,0.445,0.24,0.315
0,0,,0.835,0.0,0.165
0,0,,0.925,0.025,0.05
0,0,,0.505,0.11,0.385
0,0,,0.89,0.0,0.11
0,0,,0.9,0.05,0.05
0,0,,0.49,0.105,0.405
0,0,,0.83,0.08,0.09
0,0,,0.77,0.205,0.025
0,0,,0.975,0.0,0.025
0,0,,0.435,0.13,0.435
0,0,,0.535,0.065,0.4
0,0,,0.455,0.125,0.42
0,0,,0.88,0.015,0.105
0,0,,0.94,0.02,0.04
0,0,,0.55,0.105,0.345
0,0,,0.855,0.025,0.12
0,0,,0.59,0.025,0.385
0,0,,0.825,0.015,0.16
0,0,,0.88,0.07,0.05
0,0,,0.92,0.0,0.08
0,0,,0.95,0.01,0.04
0,0,,0.45,0.18,0.37
0,0,,0.91,0.055,0.035
0,0,,0.555,0.08,0.365
0,0,,0.595,0.135,0.27
0,0,,0.94,0.045,0.015
0,0,,0.91,0.005,0.085
0,0,,0.595,0.055,0.35
0,0,,0.49,0.08,0.43
0,0,,0.95,0.025,0.025
0,0,,0.95,0.02,0.03
0,0,,0.925,0.015,0.06
0,0,,0.41,0.185,0.405
0,0,,0.94,0.045,0.015
0,0,,0.975,0.02,0.005
0,0,,0.925,0.035,0.04
0,0,,0.795,0.085,0.12
0,0,,0.89,0.05,0.06
0,0,,0.83,0.075,0.095
0,0,,0.895,0.01,0.095
0,0,,0.945,0.0,0.055
0,2,,0.395,0.2,0.405
0,0,,0.75,0.225,0.025
0,0,,0.91,0.05,0.04
0,0,,0.815,0.115,0.07
0,0,,0.955,0.02,0.025
0,0,,0.96,0.0,0.04
0,0,,0.93,0.015,0.055
0,0,,0.53,0.145,0.325
0,0,,0.97,0.02,0.01
0,0,,0.96,0.0,0.04
0,0,,0.53,0.065,0.405
0,0,,0.78,0.085,0.135
0,0,,0.79,0.01,0.2
0,0,,0.585,0.02,0.395
0,0,,0.895,0.085,0.02
0,0,,0.99,0.005,0.005
0,0,,0.465,0.185,0.35
0,0,,0.955,0.01,0.035
0,0,,0.495,0.09,0.415
0,0,,0.85,0.085,0.065
0,0,,0.96,0.015,0.025
0,0,,0.945,0.015,0.04
0,0,,0.96,0.0,0.04
0,0,,0.97,0.01,0.02
0,0,,0.555,0.115,0.33
0,0,,0.94,0.025,0.035
0,0,,0.935,0.03,0.035
0,0,,0.9,0.08,0.02
0,0,,0.875,0.02,0.105
0,0,,0.955,0.0,0.045
0,0,,0.475,0.145,0.38
0,0,,0.86,0.115,0.025
0,0,,0.945,0.03,0.025
0,0,,0.915,0.065,0.02
