Estimators:,F-Stat,Info Gain,Info Gain(no_early_abandon),Kolmogorov,Kruskal Wallis,Moods Median,Wasserstein
ACSF1,6.0,4.5,4.5,3.0,1.0,7.0,2.0
Adiac,6.0,3.5,3.5,2.0,1.0,7.0,5.0
ArrowHead,5.0,1.5,1.5,3.0,4.0,6.0,7.0
BME,1.0,3.5,3.5,6.0,5.0,7.0,2.0
Beef,1.0,3.5,3.5,6.0,2.0,5.0,7.0
BeetleFly,2.0,5.0,5.0,5.0,2.0,2.0,7.0
BirdChicken,5.5,3.5,3.5,5.5,1.0,2.0,7.0
CBF,5.0,3.5,3.5,2.0,1.0,7.0,6.0
Car,1.0,2.5,2.5,5.0,6.0,4.0,7.0
ToeSegmentation1,6.0,1.5,1.5,5.0,4.0,3.0,7.0
ToeSegmentation2,4.0,2.5,2.5,6.0,5.0,1.0,7.0
Trace,3.5,3.5,3.5,3.5,3.5,3.5,7.0
TwoLeadECG,6.0,3.5,3.5,5.0,1.5,1.5,7.0
UWaveGestureLibraryZ,3.0,5.5,5.5,2.0,4.0,1.0,7.0
Wafer,4.0,4.0,4.0,4.0,4.0,4.0,4.0
Wine,2.0,4.5,4.5,1.0,6.0,3.0,7.0
WordSynonyms,2.0,3.5,3.5,1.0,5.0,6.0,7.0
Worms,2.0,4.5,4.5,6.0,1.0,3.0,7.0
WormsTwoClass,7.0,5.5,5.5,3.0,2.0,4.0,1.0
Yoga,6.0,1.5,1.5,3.0,5.0,4.0,7.0
