Estimators:,F-Stat,Info Gain,Info Gain(no_early_abandon),Kolmogorov,Kruskal Wallis,Moods Median,Wasserstein
ACSF1,2.0,5.5,5.5,1.0,7.0,4.0,3.0
Adiac,5.0,2.0,2.0,4.0,2.0,6.0,7.0
ArrowHead,1.0,3.5,3.5,6.0,2.0,7.0,5.0
BME,3.0,3.0,3.0,5.0,6.0,7.0,1.0
Beef,3.0,5.0,5.0,1.0,5.0,2.0,7.0
BeetleFly,6.0,2.5,2.5,2.5,2.5,6.0,6.0
BirdChicken,6.0,3.5,3.5,3.5,1.0,3.5,7.0
CBF,3.0,1.5,1.5,4.0,5.0,6.0,7.0
Car,1.5,5.0,5.0,3.0,5.0,1.5,7.0
ToeSegmentation1,4.0,1.5,1.5,4.0,4.0,6.0,7.0
ToeSegmentation2,5.0,2.5,2.5,5.0,5.0,1.0,7.0
Trace,3.5,3.5,3.5,3.5,3.5,3.5,7.0
TwoLeadECG,6.0,2.5,2.5,1.0,4.0,5.0,7.0
UWaveGestureLibraryZ,2.0,3.5,3.5,6.0,5.0,1.0,7.0
Wafer,4.0,4.0,4.0,4.0,4.0,4.0,4.0
Wine,6.0,3.5,3.5,5.0,7.0,2.0,1.0
WordSynonyms,1.0,5.5,5.5,3.0,4.0,7.0,2.0
Worms,6.0,4.5,4.5,3.0,1.0,2.0,7.0
WormsTwoClass,5.5,1.5,1.5,3.0,7.0,4.0,5.5
Yoga,6.0,1.5,1.5,4.0,5.0,3.0,7.0
